Phenotype,Ontology,GO_Term,Description,P_value,FDR q-value,Enrichment,N,B,n,b,Eliminated,Genes,Caste,Development
EQ,Process,GO:0000902,cell morphogenesis,1.92E-06,1.15E-03,4.9,6226,95,174,13,1,"[Slh  -  sly-1 homologous, Hem  -  hem-protein, Shroom  -  cg34379 gene product from transcript cg34379-rd, betaCop  -  beta-coatomer protein, gho  -  ghost, LanA  -  laminin a, CkIalpha  -  casein kinase ialpha, ena  -  enabled, grh  -  grainy head, slmb  -  supernumerary limbs, Dl  -  delta, arm  -  armadillo, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0000904,cell morphogenesis involved in differentiation,4.94E-04,5.93E-02,5.8,6226,37,174,6,1,"[grh  -  grainy head, ena  -  enabled, slmb  -  supernumerary limbs, Dl  -  delta, LanA  -  laminin a, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0001708,cell fate specification,1.84E-04,2.82E-02,4.94,6226,58,174,8,0,"[ttk  -  tramtrack, l(2)gl  -  lethal (2) giant larvae, Dl  -  delta, nkd  -  naked cuticle, arm  -  armadillo, salm  -  spalt major, N  -  notch, yki  -  yorkie]",queen,Early (EQ)
EQ,Process,GO:0001745,compound eye morphogenesis,2.17E-04,3.19E-02,4.29,6226,75,174,9,1,"[nej  -  nejire, Mitf  -  cg43369 gene product from transcript cg43369-ra, caup  -  caupolican, ArfGAP3  -  adp-ribosylation factor gtpase activating protein 3, Nhe2  -  na[+]/h[+] hydrogen exchanger 2, rap  -  retina aberrant in pattern, arm  -  armadillo, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0002009,morphogenesis of an epithelium,1.58E-04,2.59E-02,2.82,6226,203,174,16,0,"[Tollo  -  cg6890 gene product from transcript cg6890-ra, l(2)gl  -  lethal (2) giant larvae, cora  -  coracle, rap  -  retina aberrant in pattern, Nrg  -  neuroglian, Gbeta13F  -  g protein beta-subunit 13f, ena  -  enabled, ttk  -  tramtrack, Nrx-IV  -  neurexin iv, cbt  -  cabut, arm  -  armadillo, Btk29A  -  btk family kinase at 29a, pygo  -  pygopus, ed  -  echinoid, yki  -  yorkie, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0003002,regionalization,3.53E-06,1.69E-03,3.19,6226,224,174,20,0,"[Slh  -  sly-1 homologous, caup  -  caupolican, l(2)gl  -  lethal (2) giant larvae, cora  -  coracle, E(spl)mgamma-HLH  -  enhancer of split mgamma, helix-loop-helix, nkd  -  naked cuticle, nito  -  spenito, lilli  -  lilliputian, cbt  -  cabut, Dl  -  delta, ft  -  fat, robo  -  roundabout, arm  -  armadillo, sob  -  sister of odd and bowl, pygo  -  pygopus, Lim1  -  cg11354 gene product from transcript cg11354-rb, H  -  hairless, f  -  forked, Hs3st-B  -  heparan sulfate 3-o sulfotransferase-b, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0003008,system process,7.69E-04,7.19E-02,2.24,6226,304,174,19,1,"[dpr13  -  cg33996 gene product from transcript cg33996-rb, Tmhs  -  tetraspan membrane protein in hair cell stereocilia ortholog, cora  -  coracle, salm  -  spalt major, brp  -  bruchpilot, orb2  -  cg43782 gene product from transcript cg43782-rh, dpr11  -  cg33202 gene product from transcript cg33202-rc, Ir8a  -  ionotropic receptor 8a, vsg  -  visgun, Nrx-IV  -  neurexin iv, lilli  -  lilliputian, tilB  -  touch insensitive larva b, arm  -  armadillo, Btk29A  -  btk family kinase at 29a, drk  -  downstream of receptor kinase, f  -  forked, HDAC4  -  cg1770 gene product from transcript cg1770-rg, Chd64  -  cg14996 gene product from transcript cg14996-rb, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0007015,actin filament organization,9.25E-04,8.02E-02,3.54,6226,91,174,9,0,"[cdi  -  center divider, Shroom  -  cg34379 gene product from transcript cg34379-rd, ena  -  enabled, Actn  -  alpha actinin, Dl  -  delta, ed  -  echinoid, f  -  forked, PI4KIIIalpha  -  phosphatidylinositol 4-kinase iii alpha, N  -  notch]",queen,Early (EQ)
EQ,Process,GO:0007155,cell adhesion,9.15E-06,3.29E-03,4.27,6226,109,174,13,0,"[beat-IIIc  -  cg15138 gene product from transcript cg15138-ra, Hem  -  hem-protein, tutl  -  turtle, cora  -  coracle, LanA  -  laminin a, Nrg  -  neuroglian, Cals  -  calsyntenin-1, Gbeta13F  -  g protein beta-subunit 13f, Nlg1  -  neuroligin 1, Nrx-IV  -  neurexin iv, ft  -  fat, arm  -  armadillo, ed  -  echinoid]",queen,Early (EQ)
EQ,Process,GO:0007162,negative regulation of cell adhesion,6.32E-04,6.69E-02,9.54,6226,15,174,4,1,"[plexB  -  plexin b, arm  -  armadillo, pygo  -  pygopus, N  -  notch]",queen,Early (EQ)
