#ID,2dD,2dQ,2dW,4dD,4dQ,4dW,geneLength
Bee_newGene_1,2,4,4,6,18,10,741
Bee_newGene_1038,22,26,36,70,210,384,2221
Bee_newGene_104,6,12,16,18,16,8,924
Bee_newGene_1040,2070,1922,1866,1512,1388,1456,2199
Bee_newGene_1041,76,76,60,78,60,54,704
Bee_newGene_1044,324,248,284,338,218,382,898
Bee_newGene_1045,118,158,202,164,74,250,1352
Bee_newGene_1046,70,34,30,38,28,14,3301
Bee_newGene_1047,4,2,4,0,2,0,910
Bee_newGene_1048,4,2,0,2,2,2,482
Bee_newGene_1049,160,98,126,110,110,152,15309
Bee_newGene_1052,20,8,10,18,14,6,518
Bee_newGene_1053,6,2,4,6,6,6,770
Bee_newGene_1054,4,2,2,4,2,2,1356
Bee_newGene_1055,4,4,2,4,4,2,1183
Bee_newGene_1057,0,0,0,0,16,2,1053
Bee_newGene_1058,14,4,10,46,14,20,956
Bee_newGene_1063,4,4,4,10,6,4,753
Bee_newGene_1064,2,2,2,2,10,2,632
Bee_newGene_1067,4,4,8,2,2,2,732
Bee_newGene_1069,34,22,20,16,22,20,1332
Bee_newGene_1071,82,100,122,86,54,134,5186
Bee_newGene_109,92,60,50,124,58,98,2502
Bee_newGene_111,2,4,4,2,2,2,862
Bee_newGene_113,20,0,12,12,14,4,4197
Bee_newGene_114,16,6,4,16,12,16,1938
Bee_newGene_115,18,12,8,80,16,36,1146
Bee_newGene_118,8,6,12,2,2,4,1384
Bee_newGene_1180,34,14,24,50,76,28,4989
Bee_newGene_1181,4,4,4,4,6,2,716
Bee_newGene_1183,14,50,14,140,344,444,590
Bee_newGene_1185,10,2,12,0,12,6,4898
Bee_newGene_1186,232,128,184,110,128,156,799
Bee_newGene_1187,2,2,2,0,2,2,490
Bee_newGene_1188,6,10,6,4,48,20,2051
Bee_newGene_1189,112,122,92,154,324,186,6957
Bee_newGene_1190,4,6,2,4,2,4,983
Bee_newGene_1191,150,98,78,124,62,64,1260
Bee_newGene_1195,12,10,18,12,8,4,2235
Bee_newGene_1196,114,92,100,68,154,98,6863
Bee_newGene_1201,14,6,8,8,2,4,603
Bee_newGene_1206,8,2,8,4,4,6,905
Bee_newGene_121,0,2,0,2,32,32,806
Bee_newGene_1213,38,14,32,40,32,36,4862
Bee_newGene_1214,10,18,2,18,76,38,1915
Bee_newGene_1215,28,16,30,14,16,32,6970
Bee_newGene_1218,20,18,20,18,24,30,2450
Bee_newGene_1219,2,2,2,2,26,14,1508
Bee_newGene_122,66,78,128,232,238,572,717
Bee_newGene_1220,16,0,4,24,58,20,8129
Bee_newGene_1221,18,10,14,16,14,14,1063
Bee_newGene_1224,4,0,2,2,2,8,900
Bee_newGene_1226,4,4,8,4,2,2,1386
Bee_newGene_1228,1052,904,1472,898,710,1484,1634
Bee_newGene_124,28,18,8,20,24,8,1093
Bee_newGene_13,340,134,238,226,148,246,11799
Bee_newGene_1359,26,22,28,24,52,28,684
Bee_newGene_1365,8,4,6,10,12,10,1060
Bee_newGene_1366,6,6,6,2,6,2,1064
Bee_newGene_1368,70,54,48,42,38,56,4688
Bee_newGene_1371,0,0,0,0,6,2,388
Bee_newGene_1374,4,2,4,4,4,4,679
Bee_newGene_1377,2036,1922,2216,2070,2154,3104,3729
Bee_newGene_1378,8,6,6,10,6,36,1389
Bee_newGene_1381,8,2,2,6,6,2,726
Bee_newGene_1382,16,2,4,26,4,4,2181
Bee_newGene_1383,8,2,4,4,8,10,1486
Bee_newGene_1384,98,224,224,186,268,204,991
Bee_newGene_1388,124,98,122,88,68,84,3163
Bee_newGene_1391,16,12,6,6,6,4,2280
Bee_newGene_1393,42,120,42,134,0,0,715
Bee_newGene_1394,28,30,24,24,18,36,3033
Bee_newGene_1397,84,24,44,66,36,14,3796
Bee_newGene_1399,8,8,16,2,2,4,851
Bee_newGene_1400,26,18,32,8,10,10,945
Bee_newGene_1401,8,6,12,2,4,4,1618
Bee_newGene_1402,40,56,110,38,40,76,12171
Bee_newGene_1533,128,114,166,130,166,350,3369
Bee_newGene_1534,4,4,2,2,4,2,777
Bee_newGene_1535,226,86,124,60,32,54,1427
Bee_newGene_1539,2,2,4,4,6,2,767
Bee_newGene_1541,234,134,82,204,24,28,3288
Bee_newGene_1542,8,8,10,6,6,6,790
Bee_newGene_1543,14,10,10,14,10,8,1377
Bee_newGene_1545,10,4,6,8,4,2,2073
Bee_newGene_1546,8810,5042,8768,10212,4574,23424,17249
Bee_newGene_1552,0,6,6,2,4,0,2693
Bee_newGene_1553,76,80,54,74,220,218,3767
Bee_newGene_1557,22,62,56,38,24,44,779
Bee_newGene_1559,84,54,54,108,56,32,2060
Bee_newGene_1560,4,8,18,16,4,16,718
Bee_newGene_1561,6,2,4,4,2,4,635
Bee_newGene_1563,16,12,14,4,2,2,835
Bee_newGene_1564,2,2,2,2,6,4,711
Bee_newGene_1567,14,6,6,4,4,4,1289
Bee_newGene_1568,6580,6424,8668,6980,4964,9082,13306
Bee_newGene_1569,8,6,4,10,10,8,1061
Bee_newGene_1571,2,2,2,2,2,2,767
