Arginine_kinase,Tubulin_alpha_1_chain,RPS18,TATA_box_binding_protein,RPS5a,PepIsoA,GAPDH2,PP2A
26.34,25.77,23.16,30.08,22.98,24.90,24.60,31.17
27.03,25.55,23.39,30.35,23.94,24.95,24.82,31.45
26.18,25.64,23.18,30.42,23.27,24.92,24.09,31.36
24.75,24.91,22.26,29.18,22.46,23.94,24.29,30.75
26.98,25.51,22.60,30.14,23.33,25.42,25.78,31.74
25.45,25.23,22.58,29.83,22.99,24.98,25.58,31.70
25.26,24.83,22.98,29.56,22.78,24.07,23.12,31.10
28.99,24.89,22.62,30.01,22.24,23.74,27.40,31.20
26.67,25.04,23.38,30.27,24.16,24.99,24.91,31.22
24.33,23.99,22.35,29.28,22.40,23.98,24.19,31.36
25.29,24.71,22.28,29.59,22.91,24.50,24.82,30.73
24.43,24.44,21.83,29.09,22.45,24.35,24.05,31.12
25.55,24.19,23.80,30.52,23.91,24.38,23.73,31.72
25.54,24.28,23.51,30.48,23.21,24.55,23.51,30.91
25.39,23.01,22.93,30.09,22.97,23.81,23.16,31.12
24.04,23.28,23.12,29.16,22.49,23.78,23.49,30.59
24.11,23.04,22.54,29.55,22.80,24.20,23.34,31.89
24.70,23.95,22.21,29.72,22.96,24.52,24.18,31.90
25.87,24.98,23.02,29.98,23.45,23.90,23.32,31.49
24.53,22.99,22.81,29.34,22.33,23.53,22.67,30.52
25.41,23.93,23.07,30.25,23.35,24.40,24.31,31.09
24.83,22.84,22.96,29.78,22.74,23.67,24.00,30.70
26.32,25.08,23.77,30.70,23.27,25.33,25.91,32.79
25.48,23.51,22.47,29.30,22.60,24.09,24.62,30.76
25.33,24.96,23.83,31.31,24.17,24.99,24.23,31.88
25.77,25.29,23.14,30.76,23.52,25.00,24.60,31.43
28.44,27.36,23.74,31.98,25.28,26.33,26.78,32.73
25.13,24.81,24.03,31.04,23.69,25.37,25.36,32.91
25.59,25.23,22.36,30.27,22.93,25.05,25.46,31.48
26.00,25.40,23.11,30.21,23.55,25.41,25.93,33.02
28.42,26.24,24.03,30.89,24.46,26.37,26.62,33.13
26.97,25.70,23.48,31.12,23.96,25.06,24.82,32.61
28.07,25.28,23.87,30.74,23.92,25.87,26.96,32.09
24.40,25.21,23.41,30.76,23.33,25.04,25.67,32.96
25.27,25.74,23.19,30.28,23.61,25.54,26.04,32.31
25.91,26.37,22.64,30.88,23.39,25.83,26.47,32.73
