GeneName,GeneCode,GeneNumber,GeneID,Sample,Phenotype,Order,Development,ReadNumber
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mEQ3,EQ,1,Early,441.7
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mEQ1,EQ,1,Early,997.8
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mEQ2,EQ,1,Early,3900.4
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mEW3,EW,2,Early,93.9
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mEW2,EW,2,Early,245
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mEW1,EW,2,Early,1055.6
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mMQ1,MQ,3,Medium,12346.3
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mMQ4,MQ,3,Medium,18555.9
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mMQ2,MQ,3,Medium,22061.5
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mMW2,MW,4,Medium,27.8
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mMW1,MW,4,Medium,202.5
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mLQ1,LQ,5,Late,3633.1
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mLQ4,LQ,5,Late,4920
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mLQ2,LQ,5,Late,5359.9
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mLW2,LW,6,Late,65.3
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mLW3,LW,6,Late,109.1
pancreatic lipase-related protein 2-like,plrp2,1,XM_003398387.2,mLW1,LW,6,Late,263.7
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mEQ2,EQ,1,Early,210.5
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mEQ1,EQ,1,Early,558.1
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mEQ3,EQ,1,Early,777.2
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mEW2,EW,2,Early,35.9
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mEW1,EW,2,Early,181.1
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mEW3,EW,2,Early,317.1
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mMQ4,MQ,3,Medium,36.8
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mMQ2,MQ,3,Medium,36.9
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mMQ1,MQ,3,Medium,609.1
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mMW2,MW,4,Medium,50.7
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mMW1,MW,4,Medium,134.7
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mLQ4,LQ,5,Late,0.9
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mLQ1,LQ,5,Late,5.5
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mLQ2,LQ,5,Late,7
putative uncharacterized protein DDB_G0271606,unch.G0271606,2,XM_003399878.2,mLW2,LW,6,Late,149.6
