Gene,Phenotype,Status,Order,Age
NW_003568470.1_7_877,LQ,Novel coding transcript,1,late
NC_015769.1_4820898_4822627,LQ,Novel non-coding transcript,2,late
NC_015771.1_3152030_3152362,LQ,Novel non-coding transcript,2,late
NW_003568631.1_1_612,LQ,Novel non-coding transcript,2,late
NC_015778.1_482243_482837,LQ,Novel non-coding transcript,2,late
NC_015764.1_10238131_10241059,LQ,Unannotated not novel transcript,3,late
NC_015763.1_11235629_11239608,LQ,Unannotated not novel transcript,3,late
NC_015763.1_6338074_6346801,LQ,Unannotated not novel transcript,3,late
NC_015770.1_12905435_12907153,LQ,Unannotated not novel transcript,3,late
NW_003566526.1_1902_3818,LQ,Unannotated not novel transcript,3,late
NC_015764.1_10165373_10181599,LQ,Unannotated not novel transcript,3,late
NC_015774.1_5145354_5146192,LQ,Unannotated not novel transcript,3,late
NC_015777.1_4620388_4620973,LQ,Unannotated not novel transcript,3,late
NW_003568489.1_1_1068,LQ,Unannotated not novel transcript,3,late
NW_003565676.1_5485_6014,LQ,Unannotated not novel transcript,3,late
NW_003565557.1_44006_46418,LQ,Annotated transcript,4,late
NC_015767.1_10428321_10672051,LQ,Annotated transcript,4,late
NC_015769.1_4790925_4844239,LQ,Annotated transcript,4,late
NC_015771.1_3137226_3141484,LQ,Annotated transcript,4,late
NC_015772.1_3772353_3775563,LQ,Annotated transcript,4,late
NC_015764.1_10254752_10258688,LQ,Annotated transcript,4,late
NC_015764.1_10241255_10243195,LQ,Annotated transcript,4,late
NC_015765.1_1212762_1214427,LQ,Annotated transcript,4,late
NW_003567385.1_551_1034,LQ,Annotated transcript,4,late
NW_003566949.1_1081_1564,LQ,Annotated transcript,4,late
NC_015772.1_724225_733475,LQ,Annotated transcript,4,late
NC_015772.1_5395367_5397934,LQ,Annotated transcript,4,late
NW_003565557.1_26160_29185,LQ,Annotated transcript,4,late
NC_015769.1_7559514_7562808,LQ,Annotated transcript,4,late
NC_015769.1_7563046_7568254,LQ,Annotated transcript,4,late
NC_015773.1_10266169_10268122,LQ,Annotated transcript,4,late
NC_015773.1_10270623_10273991,LQ,Annotated transcript,4,late
NW_003568878.1_25_931,LQ,Annotated transcript,4,late
NW_003569632.1_26_1122,LQ,Annotated transcript,4,late
NC_015774.1_8595443_8598918,LQ,Annotated transcript,4,late
NC_015767.1_10624627_10627639,LQ,Annotated transcript,4,late
NC_015765.1_12833920_12836958,LQ,Annotated transcript,4,late
NW_003566548.1_26374_46056,LQ,Annotated transcript,4,late
NC_015767.1_1054083_1068174,LQ,Annotated transcript,4,late
NC_015771.1_3045554_3144288,LQ,Annotated transcript,4,late
NC_015771.1_9108635_9108849,LW,Novel non-coding transcript,2,late
NW_003565415.1_68987_69283 ,LW,Novel non-coding transcript,2,late
NW_003565415.1_73539_74047,LW,Novel non-coding transcript,2,late
