Bter_protein_ID,Apis_gene_symbol,Apis_locus,Amel_v4_5,Apis_gene_ID,Apis_gene_description,BEEBASE,OGS_v1_1,Bter_gene_ID,Bter_gene_description,Bter_gene_symbol
NP_001267818.1,LOC412166,LOC412166,XP_395629.3,412166,PREDICTED: acyl-CoA Delta(11) desaturase,GB48195,GB11969,NM_001280889.1,acyl-CoA delta-9 desaturase,npve
NP_001267823.1,LOC550671,LOC550671,XP_006560620.1,550671,PREDICTED: venom serine protease Bi-VSP,GB49552,GB11698,NM_001280894.1,venom serine protease precursor,VSP
NP_001267828.1,LOC100192201,Fibroin3,NP_001129680.1,100192201,silk fibroin 3 precursor,GB53623,GB12184,NM_001280899.1,silk fibroin 3 precursor,F3
NP_001267830.1,LOC100192200,Fibroin2,NP_001129679.1,100192200,silk fibroin 2 precursor,GB53622,GB19585,NM_001280901.1,silk fibroin 2 precursor,F2
NP_001267833.1,LOC724771,Fibroin1,NP_001129678.1,724771,silk fibroin 1 precursor,GB53621,GB17818,NM_001280904.1,silk fibroin 1 precursor,F1
NP_001267835.1,LOC551189,LOC551189,XP_623586.2,551189,PREDICTED: farnesyl pyrophosphate synthase-like,GB52653,GB12385,NM_001280906.1,farnesyl pyrophosphate synthase-like,LOC100650005
NP_001267838.1,LOC406143,Def1,NP_001011616.2,406143,defensin-1 preproprotein,GB41428,GB30228,NM_001280909.1,defensin precursor,Def
NP_001267840.1,LOC412815,LOC412815,XP_006567467.1,412815,PREDICTED: fatty acid synthase,GB53412,GB12198,NM_001280911.1,fatty acid synthase-like,LOC100652317
NP_001267845.1,LOC725018,LOC725018,XP_001120920.1,725018,PREDICTED: phosphomevalonate kinase,GB49221,GB11982,NM_001280916.1,phosphomevalonate kinase,Mpk
NP_001267847.1,LOC727189,LOC727189,XP_001122899.2,727189,PREDICTED: geranylgeranyl pyrophosphate synthase isoform X2,GB43964,GB18686,NM_001280918.1,geranylgeranyl pyrophosphate synthase-like,LOC100646723
NP_001267850.1,LOC100576395,Kr-h1,NP_001229399.1,100576395,Krueppel homologous protein 1,GB45427,GB14867,NM_001280921.1,kruppel homolog 1,Kr-h1
NP_001267855.1,LOC725363,LOC725363,XP_001121223.1,725363,PREDICTED: isopentenyl-diphosphate Delta-isomerase 1 isoform X1,GB44492,GB18308,NM_001280926.1,isopentenyl-diphosphate Delta-isomerase 1-like,LOC100646012
NP_001267862.1,LOC551395,LOC551395,XP_006568215.2,551395,"PREDICTED: LOW QUALITY PROTEIN: acetyl-CoA acetyltransferase, cytosolic",GB49784,GB12374,NM_001280933.1,acetyl-CoA acetyltransferase,LOC100648426
NP_001267865.1,LOC725817,LOC725817,XP_001121619.2,725817,PREDICTED: diphosphomevalonate decarboxylase,GB44718,GB16296,NM_001280936.1,diphosphomevalonate decarboxylase,LOC100644850
XP_003392860.1,LOC552315,LOC552315,XP_624693.1,552315,PREDICTED: ubiquitin-like-conjugating enzyme ATG3,GB54956,GB12186,XM_003392812.2,ubiquitin-like-conjugating enzyme ATG3,LOC100642312
XP_003392862.1,LOC552274,LOC552274,XP_624653.3,552274,PREDICTED: protein FAM122A,GB54974,GB14236,XM_003392814.2,protein FAM122A,LOC100642550
XP_003392863.1,LOC550992,LOC550992,XP_623429.3,550992,PREDICTED: selT-like protein,GB54973,GB15757,XM_003392815.2,selT-like protein,LOC100642672
XP_003392864.1,LOC412451,LOC412451,XP_006571529.1,412451,PREDICTED: ankyrin repeat domain-containing protein 13C,GB54972,GB19591,XM_003392816.2,LOW QUALITY PROTEIN: ankyrin repeat domain-containing protein 13C,LOC100642790
XP_003392865.1,LOC412384,LOC412384,XP_395842.2,412384,PREDICTED: BTB/POZ domain-containing protein 9 isoform X2,GB54971,GB12345,XM_003392817.2,BTB/POZ domain-containing protein 9 isoform X1,LOC100642910
XP_003392868.1,LOC725103,CSP6,NP_001071287.1,725103,chemosensory protein 6 precursor,GB13325,GB13325,XM_003392820.2,ejaculatory bulb-specific protein 3-like isoform X1,LOC100643514
XP_003392875.1,LOC727199,LOC727199,XP_001122909.3,727199,PREDICTED: probable NADH dehydrogenase,NA,GB17883,XM_003392827.2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,LOC100644236
XP_003392877.1,LOC725712,LOC725712,XP_006571526.1,725712,PREDICTED: uncharacterized protein LOC725712,GB54961,GB13928,XM_003392829.2,uncharacterized protein LOC100644354,LOC100644354
XP_003392880.2,LOC551469,LOC551469,XP_016771524.1,551469,PREDICTED: tetratricopeptide repeat protein 25 isoform X1,GB54966,GB17173,XM_003392832.2,uncharacterized protein LOC100644746,LOC100644746
XP_003392881.1,LOC551381,LOC551381,XP_623779.1,551381,PREDICTED: uncharacterized protein LOC551381,GB53946,GB19189,XM_003392833.2,uncharacterized protein LOC100644871,LOC100644871
XP_003392882.1,LOC413524,LOC413524,XP_396967.3,413524,PREDICTED: exocyst complex component 1,GB53944,GB17907,XM_003392834.2,exocyst complex component 1,LOC100644991
XP_003392883.1,LOC412412,LOC412412,XP_395869.3,412412,PREDICTED: microfibrillar-associated protein 1,GB48955,GB13767,XM_003392835.2,microfibrillar-associated protein 1,LOC100645110
XP_003392884.1,LOC409226,LOC409226,XP_392750.1,409226,PREDICTED: FAS-associated factor 1 isoform X1,GB48951,GB17514,XM_003392836.2,LOW QUALITY PROTEIN: FAS-associated factor 1,LOC100645550
XP_003392886.1,LOC409225,LOC409225,XP_392749.1,409225,PREDICTED: NEDD8-conjugating enzyme Ubc12,GB48926,GB13168,XM_003392838.2,NEDD8-conjugating enzyme Ubc12 isoform X1,LOC100645787
XP_003392888.1,LOC726708,LOC726708,XP_016767270.1,726708,PREDICTED: LOW QUALITY PROTEIN: F-box only protein 28,GB48927,GB12474,XM_003392840.2,F-box only protein 28,LOC100645973
XP_003392889.1,LOC100576242,LOC100576242,XP_016767267.1,100576242,"PREDICTED: protein MAATS1-like, partial",GB48948,GB15124,XM_003392841.2,protein MAATS1-like isoform X2,LOC100646091
XP_003392892.1,LOC413577,LOC413577,XP_016772786.1,413577,PREDICTED: serine/threonine-protein kinase 32B isoform X2,GB48942,GB18488,XM_003392844.2,serine/threonine-protein kinase 32A isoform X1,LOC100646573
XP_003392893.1,LOC552128,LOC552128,XP_624511.1,552128,PREDICTED: isocitrate dehydrogenase,GB48943,GB18960,XM_003392845.2,"isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",LOC100646694
XP_003392894.1,LOC412407,LOC412407,XP_395864.3,412407,PREDICTED: methenyltetrahydrofolate synthase domain-containing protein,GB48933,GB19969,XM_003392846.2,methenyltetrahydrofolate synthase domain-containing protein,LOC100646815
XP_003392897.2,LOC100578467,LOC100578467,XP_003251714.1,100578467,PREDICTED: protein Star-like,GB48935,GB13389,XM_003392849.2,protein Star-like,LOC100647171
XP_003392898.1,LOC413576,LOC413576,XP_397017.3,413576,PREDICTED: facilitated trehalose transporter Tret1-2 homolog,GB48936,GB14871,XM_003392850.2,facilitated trehalose transporter Tret1,LOC100647285
XP_003392902.2,LOC724281,LOC724281,XP_016773403.1,724281,PREDICTED: homeotic protein antennapedia-like,GB47490,GB10613,XM_003392854.2,lateral signaling target protein 2 homolog,LOC100647800
XP_003392903.1,LOC100577942,LOC100577942,XP_003251638.1,100577942,PREDICTED: homeobox protein Nkx-2.5-like,GB47401,GB13498,XM_003392855.2,transcription factor LBX1,LOC100647922
XP_003392904.1,LOC724373,LOC724373,XP_001120208.2,724373,PREDICTED: homeobox protein Nkx-2.5-like,GB47400,GB15586,XM_003392856.2,homeobox protein Nkx-2.5-like,LOC100648043
XP_003392905.2,LOC724412,LOC724412,XP_001120268.3,724412,PREDICTED: muscle segmentation homeobox,GB47399,GB13830,XM_003392857.2,homeobox protein MSX-1-like,LOC100648154
XP_003392910.1,LOC100576918,LOC100576918,XP_016771938.1,100576918,PREDICTED: uncharacterized protein LOC100576918,NA,NA,XM_003392862.2,uncharacterized protein LOC100648847,LOC100648847
XP_003392919.1,LOC551320,LOC551320,XP_006571595.1,551320,PREDICTED: uncharacterized protein LOC551320 isoform X2,GB54935,GB13303,XM_003392871.2,probable E3 ubiquitin-protein ligase bre1 isoform X3,LOC100650023
XP_003392920.1,LOC100578506,ROCK2,NP_001265264.1,100578506,"Rho-associated, coiled-coil containing protein kinase 2",GB54995,GB13531,XM_003392872.2,rho-associated protein kinase 2,LOC100650139
XP_003392925.1,LOC412288,LOC412288,XP_016769026.1,412288,PREDICTED: WD repeat-containing protein 7 isoform X8,GB54939,GB11315,XM_003392877.2,WD repeat-containing protein 7 isoform X11,LOC100650754
