Apis_Gene_ID,Apis_Genbank_ID,BEEBASE,OGS_v1_1,Bombus_Genbank_ID,Bombus_Gene_ID,Bombus_Description
LOC100037419,NP_001078813.1,GB53114,GB30203,XP_003394950.1,LOC100645671,cuticle protein 16.5%2C isoform B-like
LOC100049551,NP_001091704.1,GB45446,GB11959,XP_003402297.1,LOC100646276,partner of bursicon
LOC100049551,XP_006570932.1,GB45446,NA,NA,NA,NA
LOC100126690,NP_001104182.1,GB46057,GB18468,XP_003396136.1,LOC100651564,PBAN-type neuropeptides-like isoform X1
LOC100174948,NP_001124510.1,GB44678,GB17995,XP_003395836.1,LOC100643571,uncharacterized protein LOC100643571
LOC100187599,XP_016771131.1,NA,GB14066,NA,NA,NA
LOC100187599,NP_001127805.1,NA,NA,NA,NA,NA
LOC100187709,NP_001127843.1,GB53410,GB16931,XP_012167518.1,LOC105666089,nicotinamide riboside kinase 1
LOC100188904,NP_001128141.1,GB43306,GB10765,XP_012175267.1,LOC100652067,uncharacterized protein LOC100652067 isoform X1
LOC100188940,XP_006562132.1,NA,GB14566,XP_003395308.1,LOC100649531,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4
LOC100188940,NP_001128194.1,NA,NA,NA,NA,NA
LOC100188973,NP_001128414.1,GB40733,GB14350,XP_012174446.1,LOC100647324,RING finger and transmembrane domain-containing protein 2 isoform X1
LOC100191002,NP_001129381.1,NA,GB16149,NA,NA,NA
LOC100192200,NP_001129679.1,GB53622,GB19585,NP_001267830.1,F2,silk fibron 2
LOC100192201,NP_001129680.1,GB53623,GB12184,NP_001267828.1,F3,silk fibron 3
LOC100192202,NP_001129681.1,GB53624,GB12348,NA,NA,NA
LOC100216325,NP_001135436.1,NA,GB19457,XP_003396871.1,LOC100642250,DNA-binding protein inhibitor ID-2
LOC100216489,NP_001136079.1,GB40094,GB15713,XP_003400029.1,LOC100645173,uncharacterized protein LOC100645173 isoform X1
LOC100217360,NP_001136165.1,GB48697,NA,XP_003393643.1,LOC100651868,uncharacterized protein LOC100651868
LOC100302106,NP_001155259.1,NA,NA,NA,NA,NA
LOC100302106,NP_001155260.1,NA,NA,NA,NA,NA
LOC100302584,XP_016767530.1,NA,GB18606,XP_012164096.1,LOC100648975,uncharacterized protein LOC100648975
LOC100302584,NP_001157189.1,NA,NA,NA,NA,NA
LOC100302584,XP_006570229.1,NA,NA,NA,NA,NA
LOC100328599,NP_001164522.1,GB47348,GB19865,XP_012173924.1,LOC100649643,DNA (cytosine-5)-methyltransferase PliMCI-like
LOC100328599,XP_006569703.1,GB47348,NA,NA,NA,NA
LOC100359409,NP_001165874.1,GB18028,GB18028,NA,NA,NA
LOC100359410,XP_016767967.1,GB51206,GB30388,NA,NA,NA
LOC100359410,NP_001165876.1,GB51206,NA,NA,NA,NA
LOC100359410,XP_006557542.1,GB51206,NA,NA,NA,NA
LOC100359410,XP_006557543.1,GB51206,NA,NA,NA,NA
LOC100359410,XP_006557544.1,GB51206,NA,NA,NA,NA
LOC100359410,XP_006557545.1,GB51206,NA,XP_003402719.1,LOC100650867,uncharacterized protein LOC100650867
LOC100379261,NP_001166189.1,GB49960,GB10908,XP_003401202.1,LOC100649427,uncharacterized protein LOC100649427
LOC100576082,XP_016771904.1,GB54110,GB12444,XP_003400892.1,LOC100650981,uncharacterized protein LOC100650981
LOC100576085,XP_006572168.2,GB55960,NA,XP_003401760.1,LOC100647998,ras-related protein Rab-8A isoform X1
LOC100576087,XP_016773081.1,NA,NA,NA,NA,NA
LOC100576088,XP_006558636.2,GB47724,GB14203,XP_003396836.1,LOC100647901,probable 28S ribosomal protein S23%2C mitochondrial
LOC100576090,NP_001257752.1,GB42581,GB30419,XP_003397793.1,LOC100646472,adult-specific cuticular protein ACP-22-like
LOC100576093,XP_006558247.2,GB54895,GB14271,XP_012163732.1,LOC100644126,uncharacterized protein LOC100644126
LOC100576096,XP_016769227.1,GB40548,GB19775,XP_012166306.1,LOC100642404,interaptin-like
LOC100576097,XP_006563624.1,GB50006,GB30026,XP_012172143.1,LOC100643744,glutamate receptor U1-like
LOC100576097,XP_016772075.1,GB50006,GB30027,NA,NA,NA
LOC100576097,XP_016772074.1,GB50006,NA,XP_012172142.1,LOC100643862,uncharacterized protein LOC100643862
LOC100576097,XP_016772076.1,GB50006,NA,NA,NA,NA
LOC100576098,XP_003250369.1,GB53742,GB19764,XP_012176519.1,LOC100648428,F-box only protein 7-like isoform X2
LOC100576099,XP_006564549.1,GB54292,GB13609,XP_012167848.1,LOC100642459,carbohydrate sulfotransferase 11-like
LOC100576100,XP_016767406.1,GB44040,GB13306,XP_003395239.1,LOC100651637,protein phosphatase 1 regulatory subunit 42
LOC100576101,XP_016767636.1,GB44435,GB14717,NA,NA,NA
LOC100576101,XP_003251121.1,GB44435,NA,XP_012164362.1,LOC100652114,centlein-like
LOC100576104,XP_003251352.1,GB41259,GB10958,XP_003394146.1,LOC100645072,INO80 complex subunit B
LOC100576104,XP_006569308.1,GB41259,NA,NA,NA,NA
LOC100576106,XP_003251506.1,GB46438,GB11350,XP_003396386.1,LOC100651997,uncharacterized protein DDB_G0292186-like
LOC100576110,XP_016768574.1,GB40273,GB30371,NA,NA,NA
LOC100576110,XP_006557379.1,GB40273,NA,NA,NA,NA
LOC100576110,XP_006557381.1,GB40273,NA,NA,NA,NA
LOC100576110,XP_006557382.1,GB40273,NA,NA,NA,NA
LOC100576110,XP_016768573.1,GB40273,NA,NA,NA,NA
LOC100576110,XP_016768575.1,GB40273,NA,NA,NA,NA
LOC100576110,XP_016768576.1,GB40273,NA,NA,NA,NA
LOC100576110,XP_016768577.1,GB40273,NA,XP_012166229.1,LOC100648281,uncharacterized protein LOC100648281
LOC100576115,XP_016771983.1,NA,GB30018,XP_012172015.1,LOC100651385,carbonic anhydrase 13-like
LOC100576116,XP_016768210.1,GB48598,GB14948,XP_003395963.1,LOC100650153,protein inscuteable homolog
LOC100576116,XP_003250417.1,GB48598,NA,NA,NA,NA
LOC100576118,XP_006568995.1,GB55613,GB10016,XP_012174252.1,LOC100649566,uncharacterized protein LOC100649566
LOC100576118,XP_006568992.1,GB55613,NA,NA,NA,NA
LOC100576118,XP_006568993.1,GB55613,NA,NA,NA,NA
LOC100576118,XP_006568994.1,GB55613,NA,NA,NA,NA
LOC100576121,XP_003249151.1,GB48691,GB17618,XP_003393647.1,LOC100642193,protein NDNF
LOC100576121,XP_006557719.1,GB48691,NA,NA,NA,NA
LOC100576125,XP_016767333.1,GB50427,GB10403,NA,NA,NA
LOC100576125,XP_006562710.1,GB50427,NA,XP_012175450.1,LOC100646971,nucleoporin NDC1
LOC100576126,XP_003250245.1,GB40836,GB13267,NA,NA,NA
LOC100576126,XP_016768093.1,GB40836,NA,NA,NA,NA
LOC100576126,XP_016768094.1,GB40836,NA,NA,NA,NA
LOC100576128,XP_016771562.1,GB52802,GB13453,XP_003400861.1,LOC100647161,uncharacterized protein LOC100647161
LOC100576129,XP_006565632.1,GB50301,GB16204,XP_012164059.1,LOC100645321,uncharacterized protein LOC100645321 isoform X1
LOC100576129,XP_003250685.2,GB50301,NA,NA,NA,NA
LOC100576129,XP_006565631.1,GB50301,NA,NA,NA,NA
LOC100576129,XP_016767826.1,GB50301,NA,NA,NA,NA
LOC100576130,XP_016769999.1,GB48796,GB10885,XP_012175373.1,LOC100643185,uncharacterized protein LOC100643185 isoform X2
